Afghanistan;AFG;Afghani;AFA
Libyan Arab Jamahiriya;LBY;Libyan Dinar;LYD
Liechtenstein;LIE;Swiss Franc;CHF
Lithuania;LTU;Lithuanian Litas;LTL
Luxembourg;LUX;Euro;EUR
Macau China;MAC;Pataca;MOP
Macedonia the Former Yugoslav Republic of;MKD;Denar;MKD
Madagascar;MDG;Malagasy Franc;MGF
Malawi;MWI;Malawi Kwacha;MWK
Malaysia;MYS;Malaysian Ringgit;MYR
Maldives;MDV;Rufiyaa;MVR
Mali;MLI;CFA Franc BCEAO;XOF
Malta;MLT;Maltese Lira;MTL
Marshall Islands;MHL;U.S. Dollar;USD
Martinique;MTQ;Euro;EUR
Mauritania;MRT;Ouguiya;MRO
Mauritius;MUS;Mauritius Rupee;MUR
Mayotte;MYT;Euro;EUR
Mexico;MEX;Mexican Peso;MXN
Micronesia;FSM;U.S. Dollar;USD
Moldova Republic of;MDA;Moldovan Leu;MDL
Monaco;MCO;Euro;EUR
Mongolia;MNG;Tugrik;MNT
Montenegro;--;Yugoslavian New Dinar;YUM
Montserrat;MSR;E.Caribbean Dollar;XCD
Morocco;MAR;Moroccan Dirham;MAD
Mozambique;MOZ;Metical;MZM
Myanmar;MMR;Kyat;MMK
Namibia;NAM;Namibia Dollar;NAD
Nauru;NRU;Australian Dollar;AUD
Nepal;NPL;Nepalese Rupee;NPR
Netherlands;NLD;Euro;EUR
Netherlands Antilles;ANT;Nether. Antillian Guilder;ANG
New Caledonia;NCL;CFP Franc;XPF
New Zealand;NZL;New Zealand Dollar;NZD
Nicaragua;NIC;Cordoba Oro;NIO
Niger;NER;CFA Franc BCEAO;XOF
Nigeria;NGA;Naira;NGN
Niue;NIU;New Zealand Dollar;NZD
Norfolk Is.;NFK;Australian Dollar;AUD
Northern Mariana Islands;MNP;U.S. Dollar;USD
Norway;NOR;Norwegian Krone;NOK
Oman;OMN;Rial Omani;OMR
Pakistan;PAK;Pakistan Rupee;PKR
Palau;PLW;U.S. Dollar;USD
Panama;PAN;Balboa;PAB
Papua New Guinea;PNG;Kina;PGK
Paraguay;PRY;Guarani;PYG
Peru;PER;Nuevo Sol;PEN
Philippines;PHL;Philippine Peso;PHP
Pitcairn;PCN;New Zealand Dollar;NZD
Poland;POL;Polish New Zloty;PLN
Portugal;PRT;Euro;EUR
Puerto Rico;PRI;U.S. Dollar;USD
Qatar;QAT;Qatari Rial;QAR
Reunion;REU;Euro;EUR
Romania;ROM;Leu;ROL
Russian Federation;RUS;Russian Ruble (International);RUB
Rwanda;RWA;Rwanda Franc;RWF
Samoa;WSM;Tala;WST
San Marino;SMR;Euro;EUR
Sao Tome and Principe;STP;Dobra;STD
Saudi Arabia;SAU;Saudi Riyal;SAR
Senegal;SEN;CFA Franc BCEAO;XOF
Seychelles;SYC;Seychelles Rupee;SCR
Sierra Leone;SLE;Leone;SLL
Singapore;SGP;Singapore Dollar;SGD
Slovakia;SVK;Slovak Koruna;SKK
Slovenia;SVN;Tolar;SIT
So. Georgia and So. Sandwich Is.;SGS;Pound Sterling;GBP
Solomon Is.;SLB;Solomon Is. Dollar;SBD
Somalia;SOM;Somali Shilling;SOS
South Africa;ZAF;Rand;ZAR
Spain;ESP;Euro;EUR
Sri Lanka;LKA;Sri Lanka Rupee;LKR
St. Helena;SHN;St. Helena Pound;SHP
St. Kitts-Nevis;KNA;E.Caribbean Dollar;XCD
St. Lucia;LCA;E.Caribbean Dollar;XCD
St. Pierre and Miquelon;SPM;Euro;EUR
St. Vincent and The Grenadines;VCT;E.Caribbean Dollar;XCD
Sudan;SDN;Sudanese Pound;SDD
Sudan Airlines;--;Sudan Airline Rate;SDA
Suriname;SUR;Surinam Guilder;SRG
Svalbard and Jan Mayen Is.;SJM;Norwegian Krone;NOK
Swaziland;SWZ;Lilangeni;SZL
Sweden;SWE;Swedish Krona;SEK
Switzerland;CHE;Swiss Franc;CHF
Syrian Arab Rep.;SYR;Syrian Pound;SYP
Taiwan;TWN;New Taiwan Dollar;TWD
Tajikistan;TJK;Somoni;TJS
Tanzania United Republic of;TZA;Tanzanian Shilling;TZS
Thailand;THA;Thailand Baht;THB
Togo;TGO;CFA Franc BCEAO;XOF
Tokelau;TKL;New Zealand Dollar;NZD
Tonga;TON;Pa’anga;TOP
Trinidad and Tobago;TTO;Trinidad and Tobago Dollar;TTD
Tunisia;TUN;Tunisian Dinar;TND
Turkey;TUR;Turkish Lira;TRL
Turkmenistan;TKM;Manat;TMM
Turks and Caicos Is.;TCA;U.S. Dollar;USD
Tuvalu;TUV;Australian Dollar;AUD
U.S. Minor Outlying Islands;UMI;U.S. Dollar;USD
U.S. Virgin Is.;VIR;U.S. Dollar;USD
Uganda;UGA;Uganda Shilling;UGX
Ukraine;UKR;Ukrainian Hryvnia;UAH
United Arab Emirates;ARE;U.A.E. Dirham;AED
United Kingdom;GBR;Pound Sterling;GBP
United States;USA;U.S. Dollar;USD
Uruguay;URY;Peso Uruguayo;UYU
Uzbekistan;UZB;Uzbekistan Sum;UZS
Vanuatu;VUT;Vatu;VUV
Venezuela;VEN;Bolivar;VEB
Vietnam;VNM;Dong;VND
Wallis and Futuna Is.;WLF;CFP Franc;XPF
Western Sahara;ESH;Moroccan Dirham;MAD
Yemen;YEM;Yemeni Rial;YER
Yugoslavia;YUG;Yugoslavian New Dinar;YUM
Zambia;ZMB;Zambian Kwacha;ZMK
Zimbabwe;ZWE;Zimbabwe Dollar;ZWD
